etf.com_names,Ticker_names,investing_names,details
AREIT Inc.,AREIT,"AyalaLand REIT, Inc.",Stock - Philippines equities
"ARIAKE JAPAN Co., Ltd.",2815,Ariake Japan Co Ltd,Stock - Tokyo equities
ARK Fintech Innovation ETF,ARKF,ARK Fintech Innovation ETF,ETF - NYSE etf
ARK Genomic Revolution ETF,ARKG,ARK Genomic Revolution ETF,ETF - NYSE etf
ARKO Corp,ARKO,Arko Corp,Stock - NASDAQ equities
"ARMOUR Residential REIT, Inc.",ARR,ARMOUR Residential REIT Inc,Stock - NYSE equities
ASAHI YUKIZAI CORPORATION,None,None,None
"ASE Technology Holding Co., Ltd.",None,None,None
"ASE Technology Holding Co., Ltd. Sponsored ADR",None,None,None
ASGN Inc,ASGN,ASGN Inc,Stock - NYSE equities
ASIA PILE HOLDINGS Corporation,None,None,None
ASM International N.V.,None,None,None
ASM Pacific Technology Limited,None,None,None
ASML Holding NV,ASML,ASML Holding NV ADR,Stock - NASDAQ equities
ASML Holding NV ADR,ASML,ASML Holding NV ADR,Stock - NASDAQ equities
ASOS plc,ASOMY,ASOS plc PK,Stock - OTC Markets equities
ASR Nederland NV,ASRNL,ASR Nederland NV,Stock - Amsterdam equities
"ASRock, Inc.",3515,ASRock Inc,Stock - Taiwan equities
ASSA ABLOY AB Class B,None,None,None
"AST SpaceMobile, Inc. Class A",None,None,None
ASX Limited,ASXFY,ASX Limited ADR,Stock - OTC Markets equities
ASolid Technology Co Ltd,6485,ASolid Technology Co Ltd,Stock - TPEX equities
AT&T Inc.,T,AT&T Inc,Stock - NYSE equities
ATAI Life Sciences N.V.,None,None,None
ATCO Ltd. Class I,None,None,None
ATD New Holdings Inc,None,None,None
"ATI Physical Therapy, Inc. Class A",None,None,None
"ATN International, Inc.",ATNI,ATN International Inc,Stock - NASDAQ equities
ATRenew Inc. Sponsored ADR,None,None,None
ATS Automation Tooling Systems Inc.,ATA,ATS Automation Tooling Systems Inc.,Stock - Toronto equities
AU Small Finance Bank Limited,AUFIc1:NS,AU Small Finance Bank Limited Futures,Stock Future - NSE equities
AUB Group Limited,None,None,None
"AURAS Technology Co., Ltd.",3324,Auras Technology Co Ltd,Stock - TPEX equities
AURELIUS Equity Opportunities SE & Co. KGaA,AR4G,Aurelius Equity Opportunities SE & Co KGaA,Stock - Xetra equities
"AVEO Pharmaceuticals, Inc.",AVEO,AVEO Pharmaceuticals Inc,Stock - NASDAQ equities
AVEVA Group plc,AVV,AVEVA Group PLC,Stock - London equities
AVITA Medical Inc,None,None,None
AVROBIO Inc,AVRO,AVROBIO Inc,Stock - NASDAQ equities
AVZ Minerals Ltd.,AVZ,Avz Minerals Ltd,Stock - Sydney equities
"AVerMedia Technologies, Inc.",2417,AVerMedia Technologies Inc,Stock - Taiwan equities
AXA SA,AXAF,AXA SA,Stock - Paris equities
"AXT, Inc.",AXTI,AXT Inc,Stock - NASDAQ equities
AZEK Company Inc Class A,None,None,None
AZZ Inc.,AZZ,AZZ Incorporated,Stock - NYSE equities
"Aadi Biosciences, Inc.",None,None,None
Aalberts N.V.,None,None,None
Aareal Bank AG,ARLG,Aareal Bank AG,Stock - Xetra equities
Aaron's Company Inc,None,None,None
"AbCellera Biologics, Inc.",ABCL,Abcellera Biologics Inc,Stock - NASDAQ equities
Abacus Property Group,ABP,Abacus Property Group,Stock - Sydney equities
Abalance Corp,3856,Abalance Corp,Stock - Tokyo equities
"AbbVie, Inc.",ABBV,AbbVie Inc,Stock - NYSE equities
Abbott Laboratories,ABT,Abbott Laboratories,Stock - NYSE equities
Abcam PLC Sponsored ADR,None,None,None
Abdullah Al Othaim Markets Co.,4001,Abdullah Al Othaim Markets Company,Stock - Saudi Arabia equities
Abengoa S.A. Class A,None,None,None
Abengoa S.A. Class B,None,None,None
Abercrombie & Fitch Co. Class A,ANF,Abercrombie & Fitch Company,Stock - NYSE equities
Aberdeen Standard Physical Gold Shares ETF,None,None,None
Aboitiz Equity Ventures Inc.,ABTZY,Aboitiz Equity Ventures Inc ADR,Stock - OTC Markets equities
Abou Kir Fertilizers & Chemical Industries Co.,None,None,None
Abrdn plc,ABDN,Abrdn PLC,Stock - London equities
Absa Group Limited,None,None,None
Absci Corporation,None,None,None
Absolute Clean Energy Public Co Ltd NVDR,None,None,None
Absolute Software Corporation,ABST,Absolute Software Corporation,Stock - Toronto equities
Abu Dhabi Commercial Bank,ADCB,Abu Dhabi Commercial Bank PJSC,Stock - Abu Dhabi equities
AcBel Polytech Inc.,6282,Acbel Polytech Inc,Stock - Taiwan equities
Acacia Research Corporation,ACTG,Acacia Research Corporation,Stock - NASDAQ equities
"Academy Sports and Outdoors, Inc.",None,None,None
"Acadia Healthcare Company, Inc.",ACHC,Acadia Healthcare Company Inc,Stock - NASDAQ equities
Acadia Realty Trust,AKR,Acadia Realty Trust,Stock - NYSE equities
Acast AB,ACAST,Acast AB,Stock - Stockholm equities
"Accel Entertainment, Inc. Class A",None,None,None
"Accelerate Diagnostics, Inc.",AXDX,Accelerate Diagnostics Inc,Stock - NASDAQ equities
Accell Group N.V.,None,None,None
Accent Group Ltd,AX1,Accent Group Ltd,Stock - Sydney equities
Accenture Plc Class A,None,None,None
Acciona SA,ANE,Corporacion Acciona Energias Renovables SA,Stock - Madrid equities
"Accolade, Inc.",ACCD,Accolade Inc,Stock - NASDAQ equities
Accor SA,ACCP,Accor SA,Stock - Paris equities
Accton Technology Corp.,2345,Accton Technology Corp,Stock - Taiwan equities
Accuray Incorporated,ARAY,Accuray Incorporated,Stock - NASDAQ equities
Acea S.p.A.,None,None,None
Acer Incorporated,None,None,None
Acerinox SA,ANIOY,Acerinox SA ADR,Stock - OTC Markets equities
Achilles Therapeutics PLC Sponsored ADR,None,None,None
"Achillion Pharmaceuticals, Inc.",None,None,None
"Aclara Resources, Inc.",ARA,Aclara Resources Inc,Stock - Toronto equities
"Aclaris Therapeutics, Inc.",ACRS,Aclaris Therapeutics Inc,Stock - NASDAQ equities
Acme United Corporation,ACU,Acme United Corporation,Stock - NYSE equities
"Acorda Therapeutics, Inc.",ACOR,Acorda Therapeutics Inc,Stock - NASDAQ equities
"Acter Co., Ltd.",5536,Acter Co Ltd,Stock - TPEX equities
"Actinium Pharmaceuticals, Inc.",ATNM,Actinium Pharmaceuticals Inc,Stock - NYSE equities
"Activia Properties, Inc.",3279,Activia Properties Inc,Stock - Tokyo equities
Actividades de Construccion y Servicios SA,ACSAY,ACS Actividades De Construccion Y Servicios SA ADR,Stock - OTC Markets equities
"Activision Blizzard, Inc.",ATVI,Activision Blizzard Inc,Stock - NASDAQ equities
"Acuity Brands, Inc.",AYI,Acuity Brands Inc,Stock - NYSE equities
"Acumen Pharmaceuticals, Inc.",ABOS,Acumen Pharmaceuticals Inc,Stock - NASDAQ equities
Acushnet Holdings Corp.,GOLF,Acushnet Holdings Corp,Stock - NYSE equities
"Acutus Medical, Inc.",AFIB,Acutus Medical Inc,Stock - NASDAQ equities
"Adagio Therapeutics, Inc.",ADGI,Adagio Therapeutics Inc,Stock - NASDAQ equities
Adairs Ltd.,ADH,Adairs Ltd,Stock - Sydney equities
"Adams Resources & Energy, Inc.",AE,Adams Resources & Energy Inc,Stock - NYSE equities
Adani Enterprises Limited,None,None,None
Adani Green Energy Limited,None,None,None
Adani Ports & Special Economic Zone Ltd.,APSE,Adani Ports and Special Economic Zone Ltd,Stock - NSE equities
Adani Total Gas Ltd.,ADAG,Adani Total Gas Ltd,Stock - NSE equities
Adani Transmission Ltd.,ADAI,Adani Transmission Ltd,Stock - NSE equities
AdaptHealth Corp.,AHCO,Adapthealth Corp,Stock - NASDAQ equities
Adaptimmune Therapeutics PLC Sponsored ADR,None,None,None
Adaptive Biotechnologies Corp.,ADPT,Adaptive Biotechnologies Corp,Stock - NASDAQ equities
"Addsino Co., Ltd. Class A",None,None,None
Addus HomeCare Corporation,ADUS,Addus HomeCare Corporation,Stock - NASDAQ equities
Adecco Group AG,ADEN,Adecco Group AG Class N,Stock - Switzerland equities
Adecoagro S.A.,ADGO,Adecoagro S.A DRC,Stock - Buenos Aires equities
Adeka Corp.,4401,Adeka Corp,Stock - Tokyo equities
Adevinta ASA,ADEV,Adevinta ASA Class B,Stock - Oslo equities
Adgar Investment & Development Ltd.,ADGR,Adgar Investments and Development Ltd,Stock - Tel Aviv equities
Adicet Bio Inc,ACET,Adicet Bio Inc,Stock - NASDAQ equities
Adient plc,ADNT,Adient PLC,Stock - NYSE equities
Adimmune Corporation,None,None,None
Aditya Birla Capital Ltd.,ADTB,Aditya Birla Capital Ltd,Stock - NSE equities
Admicom Oyj,ADMCM,Admicom Oyj,Stock - Helsinki equities
Admiral Group plc,ADML,Admiral Group PLC,Stock - London equities
Adobe Inc.,ADBE,Adobe Systems Incorporated,Stock - NASDAQ equities
Adtalem Global Education Inc.,ATGE,Adtalem Global Education Inc,Stock - NYSE equities
"Advance Auto Parts, Inc.",AAP,Advance Auto Parts Inc,Stock - NYSE equities
Advance Residence Investment Corporation,None,None,None
"Advanced Drainage Systems, Inc.",WMS,Advanced Drainage Systems Inc,Stock - NYSE equities
"Advanced Emissions Solutions, Inc.",ADES,Advanced Emissions Solutions Inc,Stock - NASDAQ equities
"Advanced Energy Industries, Inc.",AEIS,Advanced Energy Industries Inc,Stock - NASDAQ equities
"Advanced Energy Solution Holding Co., Ltd.",None,None,None
"Advanced Info Service Public Co., Ltd.",None,None,None
"Advanced Info Service Public Co., Ltd. NVDR",None,None,None
"Advanced Information Technology Public Co., Ltd. NVDR",None,None,None
Advanced International Multitech Co. Ltd.,8938,Advanced International Multitech Co Ltd,Stock - TPEX equities
"Advanced Micro Devices, Inc.",AMD,Advanced Micro Devices Inc,Stock - NASDAQ equities
"Advanced Nano Products Co., Ltd",121600,Advanced Nano Products Co Ltd,Stock - KOSDAQ equities
Advanced Petrochemical Co.,2330,Advanced Petrochemical Company,Stock - Saudi Arabia equities
Advanced Power Electronics Corp,8261,Advanced Power Electronics Corp,Stock - Taiwan equities
Advanced Process Systems Corp.,265520,Advanced Process Systems Corp,Stock - KOSDAQ equities
"Advansix, Inc.",ASIX,AdvanSix Inc,Stock - NYSE equities
Advantage Energy Ltd,None,None,None
Advantage Solutions Inc Class A,None,None,None
"Advantech Co., Ltd.",2395,Advantech Co Ltd,Stock - Taiwan equities
Advantest Corp.,6857,Advantest Corp.,Stock - Tokyo equities
"Advent Technologies Holdings, Inc. Class A",None,None,None
Adverum Biotechnologies Inc,ADVM,Adverum Biotechnologies Inc,Stock - NASDAQ equities
AdvisorShares Pure US Cannabis ETF,MSOS,AdvisorShares Pure US Cannabis ETF,ETF - NYSE etf
Adyen N.V. Unsponsored ADR,None,None,None
Adyen NV,ADYEN,Adyen NV,Stock - Amsterdam equities
Aecon Group Inc.,ARE,Aecon Group Inc.,Stock - Toronto equities
Aedifica SA,None,None,None
Aeffe S.p.A.,None,None,None
Aeglea BioTherapeutics Inc,None,None,None
Aegon NV,AEG,Aegon NV ADR,Stock - NYSE equities
Aegon NV ADR,AEG,Aegon NV ADR,Stock - NYSE equities
Aehr Test Systems,AEHR,Aehr Test Systems,Stock - NASDAQ equities
"Aemetis, Inc.",AMTX,Aemetis Inc,Stock - NASDAQ equities
Aena SME SA,AENA,Aena SME SA,Stock - Madrid equities
AerCap Holdings NV,AER,AerCap Holdings NV,Stock - NYSE equities
AerSale Corporation,None,None,None
"Aerie Pharmaceuticals, Inc.",None,None,None
Aeris Industria e Comercio de Equipamentos para Geracao deEnergia S.A.,None,None,None
Aeris Resources Limited,None,None,None
"AeroVironment, Inc.",AVAV,AeroVironment Inc,Stock - NASDAQ equities
"Aerojet Rocketdyne Holdings, Inc.",AJRD,Aerojet Rocketdyne Holdings Inc,Stock - NYSE equities
Aeroports de Paris SA,ADP,Aeroports de Paris SA,Stock - Paris equities
"Aerovate Therapeutics, Inc.",AVTE,Aerovate Therapeutics Inc,Stock - NASDAQ equities
"Aethlon Medical, Inc.",AEMD,Aethlon Medical Inc,Stock - NASDAQ equities
"Aeva Technologies, Inc.",AEVA,Aeva Technologies Inc,Stock - NYSE equities
"Affiliated Managers Group, Inc.",AMG,Affiliated Managers Group Inc,Stock - NYSE equities
Affimed N.V.,None,None,None
"Affinity Bancshares, Inc.",AFBI,Affinity Bancshares Inc,Stock - NASDAQ equities
"Affirm Holdings, Inc. Class A",None,None,None
Affle (India) Ltd.,AFFL,Affle India Ltd,Stock - NSE equities
Aflac Incorporated,None,None,None
"AfreecaTV Co., Ltd.",067160,AfreecaTV Co Ltd,Stock - KOSDAQ equities
African Rainbow Minerals Limited,None,None,None
Afya Limited Class A,None,None,None
Ag Growth International Inc.,AFN,Ag Growth International Inc,Stock - Toronto equities
"AgEagle Aerial Systems, Inc.",UAVS,Ageagle Aerial Systems Inc,Stock - NYSE equities
Agenus Inc.,AGEN,Agenus Inc,Stock - NASDAQ equities
Agile Group Holdings Limited,None,None,None
"Agilent Technologies, Inc.",A,Agilent Technologies Inc,Stock - NYSE equities
"Agiliti, Inc.",AGTI,Agiliti Inc,Stock - NYSE equities
Agility Public Warehousing Co. K.S.C.,None,None,None
"Agilysys, Inc.",AGYS,Agilysys Inc,Stock - NASDAQ equities
"Agios Pharmaceuticals, Inc.",None,None,None
Agnico Eagle Mines Limited,AEM,Agnico Eagle Mines Limited,Stock - NYSE equities
"Agora, Inc. Sponsored ADR Class A",None,None,None
Agree Realty Corporation,ADC,Agree Realty Corporation,Stock - NYSE equities
Agricultural Bank of China Limited Class A,None,None,None
Agricultural Bank of China Limited Class H,None,None,None
Agrify Corp.,AGFY,Agrify Corp,Stock - NASDAQ equities
"AgroFresh Solutions, Inc.",AGFS,AgroFresh Solutions Inc,Stock - NASDAQ equities
Agronomics Limited,None,None,None
Aguas Andinas S.A. Class A,None,None,None
"AhnLab, Inc.",053800,Ahnlab Inc,Stock - KOSDAQ equities
Aichi Steel Corporation,None,None,None
"Aier Eye Hospital Group Co., Ltd. Class A",None,None,None
Air Arabia PJSC,AIRA,Air Arabia PJSC,Stock - Dubai equities
Air Canada,AC,Air Canada,Stock - Toronto equities
Air China Limited Class A,None,None,None
Air China Limited Class H,None,None,None
Air Lease Corporation Class A,None,None,None
Air Lease Corporation Cum Perp Pfd Registered Shs Series A,None,None,None
Air Liquide SA,AIRP,Air Liquide SA,Stock - Paris equities
Air New Zealand Limited,None,None,None
"Air Products and Chemicals, Inc.",APD,Air Products and Chemicals Inc,Stock - NYSE equities
"Air Transport Services Group, Inc.",ATSG,Air Transport Services Group Inc,Stock - NASDAQ equities
Air Water Inc.,4088,Air Water Inc,Stock - Tokyo equities
AirBoss of America Corporation,None,None,None
AirTrip Corp.,6191,AirTrip Corp,Stock - Tokyo equities
"Airbnb, Inc. Class A",None,None,None
Airbus SE,AIR,Airbus Group SE,Stock - Paris equities
Aircastle Ltd Depositary Shs Repr 1/1000th Cum Red Perp Pfd Rg Shs Series A Unitary,None,None,None
"Airgain, Inc.",AIRG,Airgain Inc,Stock - NASDAQ equities
Airport City Ltd,ARPT,Airport City Ltd,Stock - Tel Aviv equities
"Airport Facilities Co., Ltd.",8864,Airport Facilities Co Ltd,Stock - Tokyo equities
Airports of Thailand Public Co. Ltd.,None,None,None
Airports of Thailand Public Co. Ltd. NVDR,None,None,None
Airports of Thailand Public Co. Ltd.(Alien Mkt),None,None,None
"Airsculpt Technologies, Inc.",AIRS,Airsculpt Technologies Inc,Stock - NASDAQ equities
Airtac International Group,1590,Airtac International Group,Stock - Taiwan equities
"Aisan Industry Co., Ltd.",7283,Aisan Industry Co Ltd,Stock - Tokyo equities
Aisin Corporation,None,None,None
"Ajinomoto Co., Inc.",2802,"Ajinomoto Co., Inc.",Stock - Tokyo equities
"Akamai Technologies, Inc.",AKAM,Akamai Technologies Inc,Stock - NASDAQ equities
"Akatsuki, Inc.",None,None,None
Akbank TAS,AKBNK,Akbank TAS,Stock - Istanbul equities
Akcansa Cimento Sanayi ve Ticaret A.S.,None,None,None
"Akebia Therapeutics, Inc.",None,None,None
Aker ASA Class A,None,None,None
Aker BP ASA,AKRBP,Aker BP ASA,Stock - Oslo equities
Aker Carbon Capture ASA,None,None,None
Aker Clean Hydrogen AS,ACHA,Aker Clean Hydrogen AS,Stock - Oslo equities
Aker Horizons ASA,None,None,None
Aker Offshore Wind AS,AOW,Aker Offshore Wind Holding As,Stock - Oslo equities
Aker Solutions ASA,AKRYY,Aker Solutions ASA ADR,Stock - OTC Markets equities
Akerna Corp.,KERN,Akerna Corp,Stock - NASDAQ equities
"Akero Therapeutics, Inc.",AKRO,Akero Therapeutics Inc,Stock - NASDAQ equities
"Akeso, Inc.",9926,Akeso Inc,Stock - Hong Kong equities
Akis Gayrimenkul Yatirim Ortakligi A.S.,None,None,None
"Akouos, Inc.",AKUS,Akouos Inc,Stock - NASDAQ equities
"Akoustis Technologies, Inc.",AKTS,Akoustis Technologies Inc,Stock - NASDAQ equities
Akoya Biosciences Inc,AKYA,Akoya Biosciences Inc,Stock - NASDAQ equities
Akzo Nobel N.V.,None,None,None
Al Rajhi Bank,1120,Al Rajhi Bank,Stock - Saudi Arabia equities
Al Rajhi REIT Fund,None,None,None
AlAhli REIT Fund 1,None,None,None
AlJazira REIT Fund,None,None,None
Alamo Group Inc.,ALG,Alamo Group Inc,Stock - NYSE equities
Alamos Gold Inc.,AGI,Alamos Gold Inc,Stock - Toronto equities
Alaris Equity Partners Income Trust Trust Units Reg S 3c7,None,None,None
"Alarm.com Holdings, Inc.",ALRM,Alarm.com Holdings Inc,Stock - NASDAQ equities
"Alaska Air Group, Inc.",ALK,Alaska Air Group Inc,Stock - NYSE equities
"Alaunos Therapeutics, Inc.",TCRT,Alaunos Therapeutics Inc,Stock - NASDAQ equities
Albany International Corp. Class A,None,None,None
Albemarle Corporation,None,None,None
"Albertsons Companies, Inc. Class A",None,None,None
Albioma,ABIO,Albioma SA,Stock - Paris equities
"Albireo Pharma, Inc.",ALBO,Albireo Pharma Inc,Stock - NASDAQ equities
Alchera Inc.,347860,Alchera Inc,Stock - KOSDAQ equities
Alchip Technologies Ltd.,3661,Alchip Technologies Ltd,Stock - Taiwan equities
Alcoa Corporation,None,None,None
Alcon AG,ALC,Alcon AG,Stock - NYSE equities
"Aldeyra Therapeutics, Inc.",None,None,None
"Aleafia Health, Inc.",AH,Aleafia Health Inc,Stock - Toronto equities
"Alector, Inc.",ALEC,Alector Inc,Stock - NASDAQ equities
Alembic Pharmaceuticals Limited,ALEMc1:NS,Alembic Pharmaceuticals Limited Futures,Stock Future - NSE equities
