Symbol,Name,marketCap
GAIN,Gladstone Investment Corp,517001824.0
PFLT,PennantPark Floating Rate Capital Ltd,512053088.0
OWLT,Owlet Inc Class A,197484000.0
AINV,Apollo Investment Corp,866856448.0
CODI,Compass Diversified Holdings,1622387200.0
PTRS,Partners Bancorp,178564992.0
PRTC,PureTech Health PLC ADR,1076360832.0
PAX,Patria Investments Ltd Class A,2403012096.0
STEP,StepStone Group Inc Class A,2059950848.0
SSSS,SuRo Capital Corp,333283968.0
CGBD,TCG BDC Inc,733615808.0
NEWT,Newtek Business Services Corp,593978496.0
BCSF,Bain Capital Specialty Finance Inc,1026540544.0
BBDC,Barings BDC Inc,721742912.0
TCPC,BlackRock TCP Capital Corp,786790592.0
BX,Blackstone Inc,147329499136.0
OWL,Blue Owl Capital Inc Class A,4641246720.0
BBU,Brookfield Business Partners Units,3508172544.0
CNNE,Cannae Holdings Inc,2550910976.0
CSWC,Capital Southwest Corp,580724032.0
CG,Carlyle Group Inc,16671728640.0
EQT,EQT Corp,8562043904.0
FDUS,Fidus Investment Corp,444027552.0
GLAD,Gladstone Capital Corp,385581440.0
GHM,Graham Corp,98082360.0
HLNE,Hamilton Lane Inc Class A,2900749824.0
ATNI,ATN International Inc,549718848.0
BAC,Bank of America Corp,383050678272.0
WFC,Wells Fargo & Co,224793526272.0
SBNY,Signature Bank,20091758592.0
NYCB,New York Community Bancorp Inc,5329140736.0
JPM,JPMorgan Chase & Co,448945848320.0
FHN,First Horizon Corp,9641572352.0
C,Citigroup Inc,131874578432.0
CMA,Comerica Inc,12794355712.0
ZION,Zions Bancorporation NA,11321663488.0
EWBC,East West Bancorp Inc,12679391232.0
STT,State Street Corp,36115202048.0
SNV,Synovus Financial Corp,7544869888.0
NTRS,Northern Trust Corp,25232887808.0
FCNCA,First Citizens BancShares Inc (Delaware) Class A,7464395264.0
WAL,Western Alliance Bancorp,9877307392.0
CFR,Cullen/Frost Bankers Inc,9127203840.0
GILD,Gilead Sciences Inc,76655165440.0
REGN,Regeneron Pharmaceuticals Inc,67056291840.0
BIIB,Biogen Inc,31452727296.0
INCY,Incyte Corp,14583223296.0
ALKS,Alkermes Plc,3730534144.0
UTHR,United Therapeutics Corp,9135203328.0
ALNY,Alnylam Pharmaceuticals Inc,17779886080.0
VRTX,Vertex Pharmaceuticals Inc,58790690816.0
AGIO,Agios Pharmaceuticals Inc,1641202816.0
IONS,Ionis Pharmaceuticals Inc,4602034176.0
NBIX,Neurocrine Biosciences Inc,8207866880.0
ACAD,ACADIA Pharmaceuticals Inc,4210199808.0
BNTX,BioNTech SE ADR,37476151296.0
AVXL,Anavex Life Sciences Corp,921339328.0
FOLD,Amicus Therapeutics Inc,2577410816.0
TECH,Bio-Techne Corp,16254108672.0
SAGE,SAGE Therapeutics Inc,2491240448.0
SRPT,Sarepta Therapeutics Inc,6846856192.0
PRTA,Prothena Corporation PLC,1651750272.0
IRWD,Ironwood Pharmaceuticals Inc Class A,1746145536.0
LGND,Ligand Pharmaceuticals Inc,2008400128.0
NTLA,Intellia Therapeutics Inc,6720815616.0
EBS,Emergent BioSolutions Inc,2401036032.0
HALO,Halozyme Therapeutics Inc,4736074752.0
YMAB,Y-mAbs Therapeutics Inc,334312256.0
RARE,Ultragenyx Pharmaceutical Inc,4856556544.0
VNDA,Vanda Pharmaceuticals Inc,758243008.0
TVTX,Travere Therapeutics Inc,1713726976.0
ENTA,Enanta Pharmaceuticals Inc,1238999808.0
INSM,Insmed Inc,2722555904.0
GRTS,Gritstone bio Inc,368493888.0
BPMC,Blueprint Medicines Corp,4792354816.0
MYOV,Myovant Sciences Ltd,1241944192.0
MYGN,Myriad Genetics Inc,2095384704.0
BHVN,Biohaven Pharmaceutical Holding Company Ltd,9028044800.0
EXAS,Exact Sciences Corp,13497748480.0
GOSS,Gossamer Bio Inc,662938560.0
GBT,Global Blood Therapeutics Inc,1962359424.0
BCRX,BioCryst Pharmaceuticals Inc,3202860544.0
MNKD,MannKind Corp,989948672.0
FMTX,Forma Therapeutics Holdings Inc,537535040.0
NKTR,Nektar Therapeutics,2004288896.0
IMVT,Immunovant Inc,621000000.0
KDNY,Chinook Therapeutics Inc,695747968.0
IOVA,Iovance Biotherapeutics Inc,2624920320.0
CHRS,Coherus BioSciences Inc,1000513728.0
CRNX,Crinetics Pharmaceuticals Inc,875898176.0
PRAX,Praxis Precision Medicines Inc,572360000.0
KRTX,Karuna Therapeutics Inc,3118772480.0
KROS,Keros Therapeutics Inc,1216030464.0
KZR,Kezar Life Sciences Inc,754879616.0
KNSA,Kiniksa Pharmaceuticals Ltd Class A,725394816.0
KOD,Kodiak Sciences Inc,2760152320.0
CTMX,CytomX Therapeutics Inc,264911344.0
KRON,Kronos Bio Inc,387105952.0
KRYS,Krystal Biotech Inc,1591755264.0
ICPT,Intercept Pharmaceuticals Inc,438772960.0
CRL,Charles River Laboratories International Inc,16524063744.0
REPL,Replimune Group Inc,794375936.0
RIGL,Rigel Pharmaceuticals Inc,427515008.0
RCKT,Rocket Pharmaceuticals Inc,1227631488.0
MCRB,Seres Therapeutics Inc,725592128.0
STOK,Stoke Therapeutics Inc,662973824.0
AKRO,Akero Therapeutics Inc,633222656.0
SNDX,Syndax Pharmaceuticals Inc,800926656.0
XENE,Xenon Pharmaceuticals Inc,1578632576.0
ALXO,ALX Oncology Holdings Inc,606277504.0
ADCT,ADC Therapeutics SA,1148523776.0
BLUE,bluebird bio Inc,449387744.0
APLS,Apellis Pharmaceuticals Inc,4379158528.0
OPK,OPKO Health Inc,2057649792.0
PTGX,Protagonist Therapeutics Inc,1305843584.0
ATRA,Atara Biotherapeutics Inc,1280423808.0
RDUS,Radius Health Inc,330448544.0
RXRX,Recursion Pharmaceuticals Inc Class A,1913000576.0
ARWR,Arrowhead Pharmaceuticals Inc,5205394944.0
ARQT,Arcutis Biotherapeutics Inc,770523968.0
RCUS,Arcus Biosciences Inc,2031615616.0
ARCT,Arcturus Therapeutics Holdings Inc,612881600.0
IMGO,Imago BioSciences Inc,746348864.0
VCYT,Veracyte Inc,2087956736.0
VCEL,Vericel Corp,1665688448.0
VERV,Verve Therapeutics Inc,1425379840.0
VKTX,Viking Therapeutics Inc,293380864.0
IMPL,Impel Neuropharma Inc,186619152.0
IGMS,IGM Biosciences Inc,543408832.0
RGEN,Repligen Corp,10256016384.0
VIR,Vir Biotechnology Inc,3936870400.0
IDYA,IDEAYA Biosciences Inc,566680256.0
GLPG,Galapagos NV ADR,4247519232.0
PACB,Pacific Biosciences of California Inc,2422166016.0
FLGT,Fulgent Genetics Inc,2051810560.0
GTHX,G1 Therapeutics Inc,416291360.0
ZNTL,Zentalis Pharmaceuticals Inc,2267993344.0
PRQR,ProQR Therapeutics NV,92138880.0
GBIO,Generation Bio Co,267476048.0
INFI,Infinity Pharmaceuticals Inc,100587400.0
PMVP,PMV Pharmaceuticals Inc,710203264.0
RXDX,Prometheus Biosciences Inc,1608188928.0
OYST,Oyster Point Pharma Inc,262162288.0
ORGO,Organogenesis Holdings Inc Class A,962257152.0
VTGN,VistaGen Therapeutics Inc,295558976.0
TWST,Twist Bioscience Corp,2742691840.0
TPTX,Turning Point Therapeutics Inc,1654594432.0
INBX,Inhibrx Inc,865753536.0
MORF,Morphic Holding Inc,1523187456.0
RVMD,Revolution Medicines Inc,1554797952.0
MRTX,Mirati Therapeutics Inc,5607709184.0
MDXG,MiMedx Group Inc,513619520.0
MRUS,Merus NV,1093246464.0
MRSN,Mersana Therapeutics Inc,296995744.0
MGTA,Magenta Therapeutics Inc,176919680.0
MDGL,Madrigal Pharmaceuticals Inc,1442653312.0
KYMR,Kymera Therapeutics Inc,2063705984.0
KURA,Kura Oncology Inc,853910912.0
RUBY,Rubius Therapeutics Inc,500552512.0
SANA,Sana Biotechnology Inc,1278399360.0
SGMO,Sangamo Therapeutics Inc,831804288.0
KPTI,Karyopharm Therapeutics Inc,837066368.0
DTIL,Precision BioSciences Inc,273452864.0
JNCE,Jounce Therapeutics Inc,404312000.0
SPRO,Spero Therapeutics Inc,310306560.0
NRIX,Nurix Therapeutics Inc,728969920.0
NVTA,Invitae Corp,2374631936.0
ITCI,Intra-Cellular Therapies Inc,4317554688.0
SURF,Surface Oncology Inc,162857248.0
STRO,Sutro Biopharma Inc,403939712.0
TIL,Instil Bio Inc,1513602944.0
RLAY,Relay Therapeutics Inc,2191132416.0
TBPH,Theravance Biopharma Inc,682447232.0
INO,Inovio Pharmaceuticals Inc,685858368.0
IPHA,Innate Pharma SA ADR,280947808.0
PGEN,Precigen Inc,430015040.0
FATE,Fate Therapeutics Inc,3474982912.0
CRSP,CRISPR Therapeutics AG,4485247488.0
BLU,BELLUS Health Inc,730773504.0
BEEM,Beam Global,120726592.0
BTAI,BioXcel Therapeutics Inc,492173472.0
BBIO,BridgeBio Pharma Inc,1257019648.0
CCCC,C4 Therapeutics Inc,1104287360.0
CVM,CEL-SCI Corp,233952736.0
CDMO,Avid Bioservices Inc,1293211520.0
CPRX,Catalyst Pharmaceuticals Inc,781634432.0
CLDX,Celldex Therapeutics Inc,1476912384.0
