sector,stock_names,etf_names
Artificial Intelligence,Aptiv PLC,3
Artificial Intelligence,Archer Aviation Inc Class A,1
Artificial Intelligence,Archer-Daniels-Midland Company,1
Artificial Intelligence,Ares Management Corporation,1
Artificial Intelligence,"Arista Networks, Inc.",1
Artificial Intelligence,"Aritzia, Inc.",1
Artificial Intelligence,"Arrow Electronics, Inc.",1
Artificial Intelligence,Arthur J. Gallagher & Co.,1
Artificial Intelligence,"Asensus Surgical, Inc.",1
Artificial Intelligence,Atlassian Corp. Plc Class A,1
Artificial Intelligence,Atos SE,2
Artificial Intelligence,"AutoNation, Inc.",1
Artificial Intelligence,AutoStore Holdings Ltd.,2
Artificial Intelligence,"Autodesk, Inc.",5
Artificial Intelligence,"Automatic Data Processing, Inc.",1
Artificial Intelligence,Avalara Inc,1
Artificial Intelligence,Avanza Bank Holding AB,1
Artificial Intelligence,"Avnet, Inc.",1
Artificial Intelligence,"Axcelis Technologies, Inc.",1
Artificial Intelligence,"Azenta, Inc.",3
Artificial Intelligence,BYD Company Limited Unsponsored ADR Class H,1
Artificial Intelligence,Baidu Inc Sponsored ADR Class A,6
Artificial Intelligence,"Baidu, Inc. Class A",1
Artificial Intelligence,Ballard Power Systems Inc.,1
Artificial Intelligence,Baxter International Inc.,1
Artificial Intelligence,"Beacon Roofing Supply, Inc.",1
Artificial Intelligence,"Becton, Dickinson and Company",1
Artificial Intelligence,"Bentley Systems, Incorporated Class B",1
Artificial Intelligence,Berkeley Lights Inc,1
Artificial Intelligence,"Berkshire Grey, Inc. Class A",1
Artificial Intelligence,"Bio-Rad Laboratories, Inc. Class A",1
Artificial Intelligence,BlackBerry Limited,2
Artificial Intelligence,BlackRock Cash Funds Treasury SL Agency Shares,1
Artificial Intelligence,"BlackRock, Inc.",1
Artificial Intelligence,"Blade Air Mobility, Inc. Class A",1
Artificial Intelligence,Block Inc Class A,2
Artificial Intelligence,Bloom Energy Corporation Class A,1
Artificial Intelligence,Blue Prism Group Plc,1
Artificial Intelligence,Boise Cascade Co.,1
Artificial Intelligence,Booking Holdings Inc.,1
Artificial Intelligence,Booz Allen Hamilton Holding Corporation Class A,2
Artificial Intelligence,BorgWarner Inc.,1
Artificial Intelligence,BrainChip Holdings Ltd.,2
Artificial Intelligence,"Brown & Brown, Inc.",1
Artificial Intelligence,"Bumble, Inc. Class A",1
Artificial Intelligence,"Butterfly Network, Inc. Class A",1
Artificial Intelligence,"C3.ai, Inc. Class A",4
Artificial Intelligence,CCC Intelligent Solutions Holdings Inc,1
Artificial Intelligence,CD Projekt S.A.,1
Artificial Intelligence,"CEVA, Inc.",3
Artificial Intelligence,"CF Industries Holdings, Inc.",1
Artificial Intelligence,CME Group Inc. Class A,1
Artificial Intelligence,"CVR Energy, Inc.",1
Artificial Intelligence,CVS Health Corporation,1
Artificial Intelligence,CYBERDYNE Inc.,2
Artificial Intelligence,Cabot Corporation,1
Artificial Intelligence,"Cadence Design Systems, Inc.",4
Artificial Intelligence,Canaan Inc. Sponsored ADR Class A,1
Artificial Intelligence,Capital One Financial Corporation,2
Artificial Intelligence,Cargotec Oyj Class B,3
Artificial Intelligence,Carpenter Technology Corporation,1
Artificial Intelligence,Carsales.Com Limited,1
Artificial Intelligence,Cascades Inc.,1
Artificial Intelligence,Caterpillar Inc.,1
Artificial Intelligence,CellaVision AB,1
Artificial Intelligence,Centene Corporation,1
Artificial Intelligence,Central Garden & Pet Company,1
Artificial Intelligence,"Century Communities, Inc.",1
Artificial Intelligence,Cerence Inc.,2
Artificial Intelligence,Check Point Software Technologies Ltd.,1
Artificial Intelligence,Ciena Corporation,1
Artificial Intelligence,Cigna Corporation,2
Artificial Intelligence,Cintas Corporation,1
Artificial Intelligence,"Cisco Systems, Inc.",1
Artificial Intelligence,Clarivate PLC,1
Artificial Intelligence,Cloudflare Inc Class A,2
Artificial Intelligence,"CoStar Group, Inc.",1
Artificial Intelligence,Cognex Corporation,5
Artificial Intelligence,Colgate-Palmolive Company,1
Artificial Intelligence,Colliers International Group Inc.,1
Artificial Intelligence,Comcast Corporation Class A,1
Artificial Intelligence,Commercial Metals Company,1
Artificial Intelligence,Computacenter Plc,1
Artificial Intelligence,Concentrix Corporation,1
Artificial Intelligence,"Consolidated Edison, Inc.",1
Artificial Intelligence,Continental AG,3
Artificial Intelligence,"Continental Resources, Inc.",1
Artificial Intelligence,"Copart, Inc.",1
Artificial Intelligence,"CrowdStrike Holdings, Inc. Class A",3
Artificial Intelligence,DENSO CORPORATION,3
Artificial Intelligence,"DENTSPLY SIRONA, Inc.",1
Artificial Intelligence,DXC Technology Co.,2
Artificial Intelligence,"Daifuku Co., Ltd.",3
Artificial Intelligence,Daihen Corporation,1
Artificial Intelligence,Darktrace PLC,2
Artificial Intelligence,Dassault Systemes SA,4
Artificial Intelligence,Datadog Inc Class A,3
Artificial Intelligence,"DeNA Co., Ltd.",1
Artificial Intelligence,Deere & Company,3
Artificial Intelligence,"Delta Electronics, Inc.",2
Artificial Intelligence,"Desktop Metal, Inc. Class A",1
Artificial Intelligence,"Dick's Sporting Goods, Inc.",1
Artificial Intelligence,"Dillard's, Inc. Class A",1
Artificial Intelligence,"Domo, Inc. Class B",1
Artificial Intelligence,"Donaldson Company, Inc.",1
Artificial Intelligence,DouYu International Holdings Ltd. Sponsored ADR,1
Artificial Intelligence,Dover Corporation,1
Artificial Intelligence,"Dow, Inc.",1
Artificial Intelligence,DraftKings Inc Class A,1
Artificial Intelligence,Dreyfus Government Cash Management Funds Institutional,1
Artificial Intelligence,"Dropbox, Inc. Class A",1
Artificial Intelligence,"DuPont de Nemours, Inc.",1
Artificial Intelligence,Durr AG,3
Artificial Intelligence,"Dynatrace, Inc.",2
Artificial Intelligence,"EOG Resources, Inc.",1
Artificial Intelligence,"EPAM Systems, Inc.",1
Artificial Intelligence,EQUITY OTHER,1
Artificial Intelligence,Eastman Chemical Company,1
Artificial Intelligence,Elastic NV,2
Artificial Intelligence,Elbit Systems Ltd,2
Artificial Intelligence,Electronic Arts Inc.,2
Artificial Intelligence,Elekta AB Class B,1
Artificial Intelligence,Element Solutions Inc,1
Artificial Intelligence,Embracer Group AB Class B,1
Artificial Intelligence,Emerson Electric Co.,1
Artificial Intelligence,"Encore Capital Group, Inc.",1
Artificial Intelligence,Encore Wire Corporation,1
Artificial Intelligence,Endava Plc Sponsored ADR Class A,1
Artificial Intelligence,EnerSys,1
Artificial Intelligence,"Enphase Energy, Inc.",1
Artificial Intelligence,Enstar Group Limited,1
Artificial Intelligence,Entain PLC,1
Artificial Intelligence,Envista Holdings Corp.,1
Artificial Intelligence,"Equinix, Inc.",1
Artificial Intelligence,"Etsy, Inc.",2
Artificial Intelligence,Exact Sciences Corporation,1
Artificial Intelligence,Experian PLC,1
Artificial Intelligence,Exscientia Plc Sponsored ADR,1
Artificial Intelligence,F.N.B. Corporation,1
Artificial Intelligence,"FARO Technologies, Inc.",5
Artificial Intelligence,"FLEETCOR Technologies, Inc.",1
Artificial Intelligence,FMC Corporation,1
Artificial Intelligence,FUJI CORPORATION,1
Artificial Intelligence,Fabege AB,1
Artificial Intelligence,Fair Isaac Corporation,1
Artificial Intelligence,Fairfax Financial Holdings Limited,1
Artificial Intelligence,Fanuc Corporation,6
Artificial Intelligence,Faraday Technology Corp.,1
Artificial Intelligence,Faurecia Societe europeenne,1
Artificial Intelligence,First American Funds Inc X Treasury Obligations Fund,1
Artificial Intelligence,First National Financial Corporation,1
Artificial Intelligence,First Quantum Minerals Ltd.,1
Artificial Intelligence,First Republic Bank,1
Artificial Intelligence,FirstService Corp,1
Artificial Intelligence,"Fiserv, Inc.",1
Artificial Intelligence,Fiverr International Ltd.,1
Artificial Intelligence,Flight Centre Travel Group Limited,1
Artificial Intelligence,"Flowers Foods, Inc.",1
Artificial Intelligence,"Foot Locker, Inc.",1
Artificial Intelligence,Ford Motor Company,1
Artificial Intelligence,Fortescue Metals Group Ltd,1
Artificial Intelligence,"Fortinet, Inc.",1
Artificial Intelligence,Fortive Corp.,1
Artificial Intelligence,Frasers Group PLC,1
Artificial Intelligence,"Freshworks, Inc. Class A",1
Artificial Intelligence,Frontier Developments Plc,1
Artificial Intelligence,Fulton Financial Corporation,1
Artificial Intelligence,Futu Holdings Ltd. Sponsored ADR Class A,1
Artificial Intelligence,Future plc,1
Artificial Intelligence,GEA Group AG,1
Artificial Intelligence,"GMO Payment Gateway, Inc.",1
Artificial Intelligence,GMS Inc.,1
Artificial Intelligence,GS Yuasa Corporation,1
Artificial Intelligence,GXO Logistics Inc,1
Artificial Intelligence,Gambling.com Group Ltd,1
Artificial Intelligence,"Ganfeng Lithium Co., Ltd. Class H",1
Artificial Intelligence,"Gap, Inc.",1
Artificial Intelligence,Geely Automobile Holdings Limited,1
Artificial Intelligence,General Motors Company,1
Artificial Intelligence,Genpact Limited,2
Artificial Intelligence,Gentex Corporation,2
Artificial Intelligence,Gentherm Incorporated,1
Artificial Intelligence,Genuine Parts Company,1
Artificial Intelligence,Gildan Activewear Inc.,1
Artificial Intelligence,Global Unichip Corp.,4
Artificial Intelligence,Globus Medical Inc Class A,2
Artificial Intelligence,"GoDaddy, Inc. Class A",2
Artificial Intelligence,"Gray Television, Inc. Class A",1
Artificial Intelligence,"Grid Dynamics Holdings, Inc. Class A",1
Artificial Intelligence,"Group 1 Automotive, Inc.",1
Artificial Intelligence,Grupo Supervielle SA Sponsored ADR Class B,1
Artificial Intelligence,"Guardant Health, Inc.",1
Artificial Intelligence,H.B. Fuller Company,1
Artificial Intelligence,HEICO Corporation,1
Artificial Intelligence,HIWIN Technologies Corp.,2
Artificial Intelligence,HMS Networks AB,1
Artificial Intelligence,HNI Corporation,1
Artificial Intelligence,HTC Corporation,1
Artificial Intelligence,HUB24 Limited,1
Artificial Intelligence,"HUYA, Inc. Sponsored ADR Class A",1
Artificial Intelligence,"Han's Laser Technology Industry Group Co., Ltd. Class A",1
Artificial Intelligence,"Hanover Insurance Group, Inc.",1
Artificial Intelligence,"Harley-Davidson, Inc.",1
Artificial Intelligence,Harmonic Drive Systems Inc.,2
Artificial Intelligence,Harvey Norman Holdings Ltd,1
Artificial Intelligence,"Helix Energy Solutions Group, Inc.",1
Artificial Intelligence,Hello Group Inc. Sponsored ADR,1
Artificial Intelligence,Hewlett Packard Enterprise Co.,1
Artificial Intelligence,Hexagon AB Class B,3
Artificial Intelligence,Hikma Pharmaceuticals Plc,1
Artificial Intelligence,Hirata Corporation,2
Artificial Intelligence,"Hitachi,Ltd.",1
Artificial Intelligence,HollyFrontier Corporation,2
Artificial Intelligence,Holtek Semiconductor Inc.,1
Artificial Intelligence,"Honda Motor Co., Ltd.",1
Artificial Intelligence,Honeywell International Inc.,2
Artificial Intelligence,"Hub Group, Inc. Class A",1
Artificial Intelligence,"HubSpot, Inc.",2
Artificial Intelligence,Hubbell Incorporated Class B,1
Artificial Intelligence,Humana Inc.,1
Artificial Intelligence,Huntsman Corporation,1
Artificial Intelligence,Hyatt Hotels Corporation Class A,1
Artificial Intelligence,"Hyster-Yale Materials Handling, Inc. Class A",1
Artificial Intelligence,Hyundai Motor Company,1
Artificial Intelligence,"ICF International, Inc.",1
Artificial Intelligence,ICL Group Ltd.,1
Artificial Intelligence,II-VI Incorporated,1
Artificial Intelligence,IPG Photonics Corporation,1
Artificial Intelligence,IQVIA Holdings Inc,1
Artificial Intelligence,"ITT, Inc.",1
Artificial Intelligence,Icahn Enterprises L.P.,1
Artificial Intelligence,"Illumina, Inc.",4
Artificial Intelligence,Infineon Technologies AG,3
Artificial Intelligence,"Informatica, Inc. Class A",1
Artificial Intelligence,Ingredion Incorporated,1
Artificial Intelligence,Innoviz Technologies Ltd.,1
Artificial Intelligence,"Insight Enterprises, Inc.",1
Artificial Intelligence,Integra LifeSciences Holdings Corporation,1
Artificial Intelligence,Intel Corporation,5
Artificial Intelligence,"Inter Parfums, Inc.",1
Artificial Intelligence,"Intercontinental Exchange, Inc.",1
Artificial Intelligence,International Business Machines Corporation,4
Artificial Intelligence,Intuit Inc.,1
Artificial Intelligence,"Intuitive Surgical, Inc.",5
Artificial Intelligence,Iridium Communications Inc.,1
Artificial Intelligence,Ivanhoe Mines Ltd. Class A,1
Artificial Intelligence,"JD.com, Inc. Class A",4
Artificial Intelligence,"JD.com, Inc. Sponsored ADR Class A",3
Artificial Intelligence,JENOPTIK AG,1
Artificial Intelligence,JFrog Ltd.,1
Artificial Intelligence,"JOYY, Inc. Sponsored ADR Class A",1
Artificial Intelligence,"Jack Henry & Associates, Inc.",1
Artificial Intelligence,Jefferies Financial Group Inc.,1
Artificial Intelligence,John Bean Technologies Corporation,3
Artificial Intelligence,"John Wiley & Sons, Inc. Class A",1
Artificial Intelligence,Johnson & Johnson,2
Artificial Intelligence,Johnson Matthey Plc,1
Artificial Intelligence,"Juniper Networks, Inc.",1
Artificial Intelligence,KB Home,1
Artificial Intelligence,KION GROUP AG,1
Artificial Intelligence,KLA Corporation,1
Artificial Intelligence,Kaleyra Inc,1
Artificial Intelligence,Kardex Holding AG,1
Artificial Intelligence,Kawasaki Heavy Industries Ltd.,2
Artificial Intelligence,Keurig Dr Pepper Inc.,2
Artificial Intelligence,Keyence Corporation,3
Artificial Intelligence,Kia Corporation,1
Artificial Intelligence,"Kinaxis, Inc.",1
Artificial Intelligence,Kinder Morgan Inc Class P,1
Artificial Intelligence,"Kingdee International Software Group Co., Ltd.",2
Artificial Intelligence,Kingsoft Cloud Holdings Ltd Sponsored ADR,1
Artificial Intelligence,Koh Young Technology Inc.,1
Artificial Intelligence,Kohl's Corporation,1
Artificial Intelligence,Komatsu Ltd. Sponsored ADR,1
Artificial Intelligence,Kraft Heinz Company,1
Artificial Intelligence,"Kratos Defense & Security Solutions, Inc.",1
Artificial Intelligence,Kroger Co.,1
Artificial Intelligence,Krones AG,1
Artificial Intelligence,Kuaishou Technology Class B,1
Artificial Intelligence,"Kulicke & Soffa Industries, Inc.",1
Artificial Intelligence,Kyocera Corporation,1
Artificial Intelligence,L3Harris Technologies Inc,1
Artificial Intelligence,LG Electronics Inc.,1
Artificial Intelligence,Lam Research Corporation,1
Artificial Intelligence,Lattice Semiconductor Corporation,2
Artificial Intelligence,Lear Corporation,1
Artificial Intelligence,Lee & Man Paper Manufacturing Limited,1
Artificial Intelligence,Lemonade Inc,2
Artificial Intelligence,Lennar Corporation Class A,1
Artificial Intelligence,Linamar Corporation,1
Artificial Intelligence,"Lincoln Electric Holdings, Inc.",1
Artificial Intelligence,Livent Corporation,1
Artificial Intelligence,Lockheed Martin Corporation,1
Artificial Intelligence,"Lumen Technologies, Inc.",1
Artificial Intelligence,"Luminar Technologies, Inc. Class A",3
Artificial Intelligence,Lundin Mining Corporation,1
Artificial Intelligence,M&T Bank Corporation,1
Artificial Intelligence,"M.D.C. Holdings, Inc.",1
Artificial Intelligence,MUTUAL FUND (OTHER),1
Artificial Intelligence,"Macronix International Co., Ltd.",1
Artificial Intelligence,Macy's Inc,1
Artificial Intelligence,Magna International Inc.,2
Artificial Intelligence,ManTech International Corporation Class A,1
Artificial Intelligence,"Mandiant, Inc.",1
Artificial Intelligence,"Manhattan Associates, Inc.",1
Artificial Intelligence,ManpowerGroup Inc.,1
Artificial Intelligence,Markforged Holding Corporation,1
Artificial Intelligence,"Marvell Technology, Inc.",1
Artificial Intelligence,Masimo Corporation,1
Artificial Intelligence,Matador Resources Company,1
Artificial Intelligence,Materialise NV Sponsored ADR,2
Artificial Intelligence,"Matterport, Inc. Class A",1
Artificial Intelligence,"Maxar Technologies, Inc.",1
Artificial Intelligence,Maytronics Ltd.,2
Artificial Intelligence,Medacta Group SA,1
Artificial Intelligence,MediaTek Inc,1
Artificial Intelligence,Medtronic Plc,2
Artificial Intelligence,Megaport Ltd.,1
Artificial Intelligence,Meituan Class B,1
Artificial Intelligence,"MercadoLibre, Inc.",2
Artificial Intelligence,"Mercari, Inc.",1
Artificial Intelligence,Meritage Homes Corporation,1
Artificial Intelligence,Meta Platforms Inc. Class A,4
Artificial Intelligence,Metareal Corp.,1
Artificial Intelligence,MicroStrategy Incorporated Class A,1
Artificial Intelligence,"MicroVision, Inc.",1
Artificial Intelligence,Microchip Technology Incorporated,2
Artificial Intelligence,Microsoft Corporation,7
Artificial Intelligence,Mimecast Limited,1
Artificial Intelligence,MinebeaMitsumi Inc.,1
Artificial Intelligence,Mitsubishi Electric Corp.,2
Artificial Intelligence,"Mohawk Industries, Inc.",1
Artificial Intelligence,"Mondelez International, Inc. Class A",1
Artificial Intelligence,"MongoDB, Inc. Class A",1
Artificial Intelligence,"Monolithic Power Systems, Inc.",1
Artificial Intelligence,NANO-X IMAGING LTD,1
Artificial Intelligence,NAVER Corp.,1
Artificial Intelligence,NEC Corp.,1
Artificial Intelligence,NICE Ltd Sponsored ADR,2
Artificial Intelligence,"NIKE, Inc. Class B",1
Artificial Intelligence,NIO Inc. Sponsored ADR Class A,3
Artificial Intelligence,NOVONIX Ltd,1
Artificial Intelligence,NVIDIA Corporation,10
Artificial Intelligence,NXP Semiconductors NV,4
Artificial Intelligence,Nabtesco Corporation,1
Artificial Intelligence,NagaCorp Ltd.,1
Artificial Intelligence,Nano Dimension Ltd Sponsored ADR,3
Artificial Intelligence,Nanya Technology Corporation,1
Artificial Intelligence,"Nasdaq, Inc.",1
Artificial Intelligence,National Instruments Corporation,2
Artificial Intelligence,Nemetschek SE,1
Artificial Intelligence,Netcompany Group A/S,2
Artificial Intelligence,"Netflix, Inc.",3
Artificial Intelligence,"Neural Pocket, Inc.",2
Artificial Intelligence,"New Relic, Inc.",1
Artificial Intelligence,"Nexstar Media Group, Inc. Class A",1
Artificial Intelligence,Nexteer Automotive Group Limited,1
Artificial Intelligence,NiSource Inc,1
Artificial Intelligence,Nidec Corporation,2
Artificial Intelligence,Nielsen Holdings Plc,1
Artificial Intelligence,Nikola Corporation,1
Artificial Intelligence,Nine Dragons Paper Holdings Ltd.,1
Artificial Intelligence,"Nissan Motor Co., Ltd.",1
Artificial Intelligence,Niu Technologies Sponsored ADR Class A,1
Artificial Intelligence,Nomad Foods Ltd.,1
Artificial Intelligence,Nordnet AB,1
Artificial Intelligence,Nordson Corporation,2
Artificial Intelligence,Northern Trust Corporation,1
Artificial Intelligence,Northrop Grumman Corporation,1
Artificial Intelligence,NortonLifeLock Inc.,1
Artificial Intelligence,Novanta Inc,1
Artificial Intelligence,Nuance Communications Incorporated,1
Artificial Intelligence,Nuvoton Technology Corporation,1
Artificial Intelligence,"OBIC Co., Ltd.",1
Artificial Intelligence,ODP Corporation,1
Artificial Intelligence,OMRON Corporation,4
Artificial Intelligence,ON Semiconductor Corporation,2
Artificial Intelligence,OPTEX GROUP Company Limited,1
Artificial Intelligence,Ocado Group PLC,1
Artificial Intelligence,"Okta, Inc. Class A",3
Artificial Intelligence,Olam International Limited,1
Artificial Intelligence,"Omnicell, Inc.",2
Artificial Intelligence,Onex Corporation,1
Artificial Intelligence,Oracle Corporation,2
Artificial Intelligence,Oracle Corporation Japan,1
Artificial Intelligence,"Organovo Holdings, Inc.",1
Artificial Intelligence,Otis Worldwide Corporation,1
Artificial Intelligence,PACCAR Inc,1
Artificial Intelligence,"PKSHA Technology, Inc.",3
Artificial Intelligence,"PPG Industries, Inc.",1
Artificial Intelligence,"PROS Holdings, Inc.",2
Artificial Intelligence,PTC Inc.,3
Artificial Intelligence,PVH Corp.,1
Artificial Intelligence,Palantir Technologies Inc. Class A,2
Artificial Intelligence,"Palo Alto Networks, Inc.",2
Artificial Intelligence,Panasonic Corporation,1
Artificial Intelligence,Paramount Global Class A,1
Artificial Intelligence,Paysafe Ltd,1
Artificial Intelligence,Pegasystems Inc.,4
Artificial Intelligence,"Penske Automotive Group, Inc.",1
Artificial Intelligence,Pentair plc,1
Artificial Intelligence,Philip Morris International Inc.,1
Artificial Intelligence,Piedmont Lithium Inc,1
Artificial Intelligence,Pilbara Minerals Limited,1
Artificial Intelligence,"Pinnacle Financial Partners, Inc.",1
Artificial Intelligence,Pinnacle West Capital Corporation,1
Artificial Intelligence,"Pinterest, Inc. Class A",1
Artificial Intelligence,"Plains All American Pipeline, L.P.",1
Artificial Intelligence,Playtika Holding Corp.,1
Artificial Intelligence,Plug Power Inc.,1
Artificial Intelligence,"Popular, Inc.",1
Artificial Intelligence,Procter & Gamble Company,1
Artificial Intelligence,"Proto Labs, Inc.",3
Artificial Intelligence,"Pure Storage, Inc. Class A",1
Artificial Intelligence,QinetiQ Group plc,1
Artificial Intelligence,Qualcomm Inc,7
Artificial Intelligence,QuantumScape Corporation Class A,1
Artificial Intelligence,"Qurate Retail, Inc. Class A",1
Artificial Intelligence,RAKSUL INC.,1
Artificial Intelligence,RDC Semiconductor Co. Ltd.,1
Artificial Intelligence,"RENOVA, Inc.",1
Artificial Intelligence,"RPA Holdings, Inc.",1
Artificial Intelligence,Radware Ltd.,1
Artificial Intelligence,"Rainbow Robotics, Inc.",1
Artificial Intelligence,Ralph Lauren Corporation Class A,1
Artificial Intelligence,Rapid7 Inc.,1
Artificial Intelligence,Realty Income Corporation,1
Artificial Intelligence,"Recursion Pharmaceuticals, Inc Class A",1
Artificial Intelligence,"Regeneron Pharmaceuticals, Inc.",1
Artificial Intelligence,"Reinsurance Group of America, Incorporated",1
Artificial Intelligence,"Rekor Systems, Inc. Class B",1
Artificial Intelligence,"Relay Therapeutics, Inc.",1
Artificial Intelligence,Reliance Steel & Aluminum Co.,1
Artificial Intelligence,"Remark Holdings, Inc.",1
Artificial Intelligence,Renault SA,1
Artificial Intelligence,Renishaw plc,2
Artificial Intelligence,Rent-A-Center Inc,1
Artificial Intelligence,ResMed Inc.,1
Artificial Intelligence,Reynolds Consumer Products Inc,1
Artificial Intelligence,"Ricoh Company, Ltd.",1
Artificial Intelligence,Roblox Corp. Class A,1
Artificial Intelligence,"Rockwell Automation, Inc.",3
Artificial Intelligence,"Roku, Inc. Class A",1
Artificial Intelligence,"Romeo Power, Inc.",1
Artificial Intelligence,"Roper Technologies, Inc.",1
Artificial Intelligence,Rorze Corporation,1
Artificial Intelligence,"Ryder System, Inc.",1
Artificial Intelligence,"S-Pool, Inc.",1
Artificial Intelligence,S4 Capital plc,1
Artificial Intelligence,"SAMSUNG SDS CO., LTD.",1
Artificial Intelligence,SEI Investments Company,1
Artificial Intelligence,SFA Engineering Corp.,1
Artificial Intelligence,"SHIFT, Inc.",1
Artificial Intelligence,"SIASUN Robot & Automation CO., Ltd. Class A",1
Artificial Intelligence,SK hynix Inc,2
Artificial Intelligence,SMC Corporation,2
Artificial Intelligence,"SS&C Technologies Holdings, Inc.",1
Artificial Intelligence,STMicroelectronics NV,3
Artificial Intelligence,Sacyr S.A.,1
Artificial Intelligence,Samhallsbyggnadsbolaget I Norden AB Class B,1
Artificial Intelligence,"Samsara, Inc. Class A",1
Artificial Intelligence,"Samsung Electronics Co., Ltd.",4
Artificial Intelligence,"Sandy Spring Bancorp, Inc.",1
Artificial Intelligence,Sanmina Corporation,1
Artificial Intelligence,Schneider Electric SE,2
Artificial Intelligence,"Schrodinger, Inc.",1
Artificial Intelligence,Sea Ltd. (Singapore) Sponsored ADR Class A,1
Artificial Intelligence,Seagate Technology Holdings PLC,1
Artificial Intelligence,"Seagen, Inc.",1
Artificial Intelligence,Sectra AB Class B,1
Artificial Intelligence,Seek Limited,1
Artificial Intelligence,Seiko Epson Corp.,1
Artificial Intelligence,Sensirion Holding AG,1
Artificial Intelligence,"SentinelOne, Inc. Class A",1
Artificial Intelligence,"ServiceNow, Inc.",5
Artificial Intelligence,"Shanghai MicroPort MedBot (Group) Co., Ltd. Class H",1
Artificial Intelligence,Sharp Corporation,1
Artificial Intelligence,"Shenzhen Inovance Technology Co., Ltd Class A",1
Artificial Intelligence,"Shibaura Machine Co., Ltd.",3
Artificial Intelligence,"Shopify, Inc. Class A",2
Artificial Intelligence,"Shutterstock, Inc.",1
Artificial Intelligence,Siemens AG,3
Artificial Intelligence,Signature Bank,1
Artificial Intelligence,Silicon Laboratories Inc.,1
Artificial Intelligence,Sinch AB,1
Artificial Intelligence,"Skechers U.S.A., Inc. Class A",1
Artificial Intelligence,Smart Eye AB,1
Artificial Intelligence,"Smartsheet, Inc. Class A",1
Artificial Intelligence,"Snap, Inc. Class A",2
Artificial Intelligence,Snap-on Incorporated,1
Artificial Intelligence,"Snowflake, Inc. Class A",2
Artificial Intelligence,Sociedad Quimica Y Minera De Chile S.A. Sponsored ADR Pfd Class B,1
Artificial Intelligence,SoftBank Group Corp.,2
Artificial Intelligence,"SolarEdge Technologies, Inc.",1
Artificial Intelligence,Somfy SA,1
Artificial Intelligence,Sony Group Corporation,2
