,index,0
10,INTC,"Intel Corporation engages in the design, manufacture, and sale of computer products and technologies worldwide. The company operates through CCG, DCG, IOTG, Mobileye, NSG, PSG, and All Other segments. It offers platform products, such as central processing units and chipsets, and system-on-chip and multichip packages; and non-platform or adjacent products, including accelerators, boards and systems, connectivity products, graphics, and memory and storage products. The company also provides high-performance compute solutions for targeted verticals and embedded applications for retail, industrial, and healthcare markets; and solutions for assisted and autonomous driving comprising compute platforms, computer vision and machine learning-based sensing, mapping and localization, driving policy, and active sensors. In addition, it offers workload-optimized platforms and related products for cloud service providers, enterprise and government, and communications service providers. The company serves original equipment manufacturers, original design manufacturers, and cloud service providers. Intel Corporation has a strategic partnership with MILA to develop and apply advances in artificial intelligence methods for enhancing the search in the space of drugs. The company was incorporated in 1968 and is headquartered in Santa Clara, California."
11,CSCO,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China. It provides infrastructure platforms, including networking technologies of switching, routing, wireless, and data center products that are designed to work together to deliver networking capabilities, and transport and/or store data. The company also offers collaboration products comprising unified communications, Cisco TelePresence, and conferencing, as well as the Internet of Things and analytics software. In addition, it provides security products, such as network security, cloud and email security, identity and access management, advanced threat protection, and unified threat management products. Further, the company offers a range of service and support options for its customers, including technical support and advanced services. It serves businesses of various sizes, public institutions, governments, and service providers. The company sells its products and services directly, as well as through systems integrators, service providers, other resellers, and distributors. Cisco Systems, Inc. has strategic alliances with other companies. Cisco Systems, Inc. was incorporated in 1984 and is headquartered in San Jose, California."
12,NFLX,"Netflix, Inc. provides entertainment services. It offers TV series, documentaries, and feature films across various genres and languages. The company provides members the ability to receive streaming content through a host of Internet-connected devices, including TVs, digital video players, television set-top boxes, and mobile devices. It also provides DVDs-by-mail membership services. The company has approximately 204 million paid members in 190 countries. Netflix, Inc. was founded in 1997 and is headquartered in Los Gatos, California."
13,TSM,"Taiwan Semiconductor Manufacturing Company Limited manufactures and sells integrated circuits and semiconductors. It also offers customer service, account management, and engineering services. The company serves customers in computer, communications, consumer, and industrial and standard segments in North America, Europe, Japan, China, and South Korea. Taiwan Semiconductor Manufacturing Company Limited was founded in 1987 and is headquartered in HsinChu, Taiwan."
14,TSLA,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits. It provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; and purchase financing and leasing services. This segment is also involved in the provision of non-warranty after-sales vehicle services, sale of used vehicles, retail merchandise, and vehicle insurance, as well as sale of products through its subsidiaries to third party customers; services for electric vehicles through its company-owned service locations, and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners. This segment also offers service and repairs to its energy product customers, including under warranty; and various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was founded in 2003 and is headquartered in Austin, Texas."
15,BABA,"Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to merchants, brands, retailers, and other businesses to engage with their users and customers in the People's Republic of China and internationally. It operates through four segments: Core Commerce, Cloud Computing, Digital Media and Entertainment, and Innovation Initiatives and Others. The company operates Taobao Marketplace, a social commerce platform; Tmall, a third-party online and mobile commerce platform for brands and retailers; Alimama, a monetization platform; 1688.com and Alibaba.com, which are online wholesale marketplaces; AliExpress, a retail marketplace; Lazada, Trendyol, and Daraz that are e-commerce platforms; and Tmall Global and Kaola, which are import e-commerce platforms. It also operates Lingshoutong that connects FMCG manufacturers and their distributors to small retailers; Cainiao Network logistic services platform; Ele.me, an on-demand delivery and local services platform; Koubei, a restaurant and local services guide platform; and Fliggy, an online travel platform. In addition, the company offers pay-for-performance, in-feed, and display marketing services; and Taobao Ad Network and Exchange, a real-time online bidding marketing exchange. Further, it provides elastic computing, database, storage, virtualization network, large-scale computing, security, management and application, big data analytics, machine learning platform, and Internet of Things services. Additionally, the company operates Youku, an online video platform; Alibaba Pictures and other content platforms that provide online videos, films, live events, news feeds, literature, music, and others; Amap, a mobile digital map, navigation, and real-time traffic information app; DingTalk, a business efficiency app; and Tmall Genie, an AI-enabled smart speaker. The company was incorporated in 1999 and is based in Hangzhou, the People's Republic of China."
16,JD,"JD.com, Inc. operates as an e-commerce company and retail infrastructure service provider in the People's Republic of China. It operates in two segments, JD Retail and New Businesses. The company offers home appliances; mobile handsets and other digital products; desktop, laptop, and other computers, as well as printers and other office equipment; furniture and household goods; apparel; cosmetics, personal care items, and pet products; women's shoes, bags, jewelry, and luxury goods; men's shoes, sports gears, and fitness equipment; automobiles and accessories; maternal and childcare products, toys, and musical instruments; and food, beverage, and fresh produce. It also provides gifts, flowers, and plants; pharmaceutical and healthcare products, including OCT pharmaceutical products, nutritional supplements, healthcare services, and other healthcare equipment; books, e-books, music, movie, and other media products; and virtual goods, such as online travel agency, attraction tickets, and prepaid phone and game cards, as well as industrial products and installation and maintenance services. In addition, the company offers an online marketplace for third-party merchants to sell products to customers; and transaction processing and billing, and other services. Further, it provides online marketing services for suppliers, third-party merchants, and other business partners; supply chain and logistics services for various industries; and consumer financing services to individual customers, as well as online-to-offline solutions. JD.com, Inc. offers its products through its website jd.com and mobile apps, as well as directly to customers. As of December 31, 2020, JD.com, Inc. operated fulfillment centers with a network of approximately 900 warehouses in various counties and districts in China. The company has strategic cooperation agreement with Tencent Holdings Limited. JD.com, Inc. was incorporated in 2006 and is headquartered in Beijing, China."
17,DIDI,"DiDi Global Inc., a mobility technology platform, provides ride hailing and other services in the People's Republic of China, Brazil, Mexico, and internationally. It offers ride hailing, taxi hailing, chauffeur, hitch, and other forms of shared mobility services, as well as enterprise business ride solutions; auto solutions comprising leasing, refueling, and maintenance and repair services; electric vehicle leasing services; bike and e-bike sharing, intra-city freight, food delivery, and financial services. The company was formerly known as Xiaoju Kuaizhi Inc. and changed its name to DiDi Global Inc. in June 2021. DiDi Global Inc. was founded in 2012 and is headquartered in Beijing, China."
18,BIDU,"Baidu, Inc. provides internet search services in China. Its Baidu Core segment offers Baidu App to access search, feed, and other services using mobile devices; Baidu Search to access its search and other services; Baidu Feed that provides users with personalized timeline based on their demographics and interests; Haokan short video app; and Quanmin flash video app for users to create and share short videos. It also offers Baidu Knows, an online community where users can ask questions to other users; Baidu Wiki; Baidu Healthcare Wiki; Baidu Wenku; Baidu Scholar; Baidu Experience; Baidu Post, a social media platform; Baidu Maps, a voice-enabled mobile app that provides travel-related services; Baidu Drive; Baijiahao; and DuerOS, a smart assistant platform. In addition, this segment offers online marketing services, which include pay for performance, an auction-based services that allow customers to bid for priority placement of paid sponsored links and reach users who search for information related to their products or services; other marketing services that include display-based marketing services and other online marketing services based on performance criteria other than cost per click; mobile ecosystem, a portfolio of apps, including Baidu App, Haokan, and Baidu Post; various cloud services and solutions, such as platform as a service, software as a service, and infrastructure as a service; self-driving services, including maps, automated valet parking, autonomous navigation pilot, electric vehicles, and robotaxi fleets, as well as Xiaodu smart devices. Its iQIYI segment provides online entertainment service, including original and licensed content; and other video content, membership; and online advertising services. Baidu, Inc. has strategic partnerships with Zhejiang Geely Holding Group and China Gas Holdings Ltd. The company was formerly known as Baidu.com, Inc. Baidu, Inc. was incorporated in 2000 and is headquartered in Beijing, China."
19,LIVN,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates in two segments, Cardiovascular (CV) and Neuromodulation (NM). The CV segment develops, produces, and sells cardiopulmonary products, including heart-lung machines, oxygenators, perfusion tubing sets, cannulae, and accessories, as well as related equipment and disposables for autotransfusion and autologous blood washing for neonatal, pediatric, and adult patients. It also provides surgical tissue and mechanical valve replacements, and repair products for damaged or diseased heart valves, such as self-anchoring tissue heart, tissue heart, and mechanical heart valves, as well as heart valve repair products; and temporary extracorporeal cardiopulmonary life support solutions for critically ill patients. The NM segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The company serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. It sells its products through direct sales representatives and independent distributors. The company has a research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom."
20,LCID,"Lucid Group, Inc. a technology and automotive company, develops electric vehicle (EV) technologies. The company designs, engineers, and builds electric vehicles, EV powertrains, and battery systems. As of June 30, 2021, it operated eight retail studios in the United States. The company is headquartered in Newark, California."
21,F,"Ford Motor Company designs, manufactures, markets, and services a range of Ford trucks, cars, sport utility vehicles, electrified vehicles, and Lincoln luxury vehicles worldwide. It operates through three segments: Automotive, Mobility, and Ford Credit. The Automotive segment sells Ford and Lincoln vehicles, service parts, and accessories through distributors and dealers, as well as through dealerships to commercial fleet customers, daily rental car companies, and governments. The Mobility segment designs and builds mobility services; and provides self-driving systems development services. The Ford Credit segment primarily engages in vehicle-related financing and leasing activities to and through automotive dealers. It provides retail installment sale contracts for new and used vehicles; and direct financing leases for new vehicles to retail and commercial customers, such as leasing companies, government entities, daily rental companies, and fleet customers. This segment also offers wholesale loans to dealers to finance the purchase of vehicle inventory; and loans to dealers to finance working capital and enhance dealership facilities, purchase dealership real estate, and other dealer vehicle programs. Ford Motor Company has a strategic collaboration with ARB Corporation Limited to develop a suite of aftermarket products for the new Ford Bronco. The company was founded in 1903 and is based in Dearborn, Michigan."
22,GM,"General Motors Company designs, builds, and sells trucks, crossovers, cars, and automobile parts and accessories in North America, the Asia Pacific, the Middle East, Africa, South America, the United States, and China. The company operates through GM North America, GM International, Cruise, and GM Financial segments. It markets its vehicles primarily under the Buick, Cadillac, Chevrolet, GMC, Holden, Baojun, and Wuling brand names. The company also sells trucks, crossovers, cars, and purpose-built vehicles to dealers for consumer retail sales, as well as to fleet customers, including daily rental car companies, commercial fleet customers, leasing companies, and governments. In addition, it offers safety and security services for retail and fleet customers, including automatic crash response, emergency services, roadside assistance, crisis assist, stolen vehicle assistance, and turn-by-turn navigation; and connected services comprising mobile applications for owners to remotely control their vehicles and electric vehicle owners to locate charging stations, on-demand vehicle diagnostics, smart driver, marketplace in-vehicle commerce, in-vehicle voice, voice assistant, navigation and app ecosystem, connected navigation, SiriusXM with 360L, and 4G LTE wireless connectivity, as well as develops and commercializes autonomous vehicle technology. Further, the company provides automotive financing and insurance services; and software-enabled services and subscriptions. General Motors Company was founded in 1908 and is headquartered in Detroit, Michigan."
23,FSR,"Fisker, Inc. focuses on design, development, manufacture, and sale of electric vehicles. The company was founded in 2016 and is headquartered in Manhattan Beach, California."
24,GP,"GreenPower Motor Company Inc. designs, manufactures, and distributes electric vehicles for commercial markets in the United States and Canada. The company offers a suite of high-floor and low-floor electric medium and heavy-duty vehicles, including transit buses, school buses, shuttles, cargo vans, double decker buses, and a cab and chassis. It sells and leases its vehicles to customers directly and through distributors. The company is based in Vancouver, Canada."
25,ALB,"Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. It operates through three segments: Lithium, Bromine Specialties, and Catalysts. The Lithium segment offers lithium compounds, including lithium carbonate, lithium hydroxide, lithium chloride, and lithium specialties; and reagents, such as butyllithium and lithium aluminum hydride for use in lithium batteries for consumer electronics and electric vehicles, high performance greases, thermoplastic elastomers for car tires, rubber soles, plastic bottles, catalysts for chemical reactions, organic synthesis processes in the areas of steroid chemistry and vitamins, life sciences, pharmaceutical industry, and other markets. It also provides cesium products for the chemical and pharmaceutical industries; zirconium, barium, and titanium products for pyrotechnical applications; technical services for the handling and use of reactive lithium products; and lithium-containing by-products recycling services. The Bromine Specialties segment offers bromine and bromine-based fire safety solutions; specialty chemicals, including elemental bromine, alkyl and inorganic bromides, brominated powdered activated carbon, and other bromine fine chemicals for use in chemical synthesis, oil and gas well drilling and completion fluids, mercury control, water purification, beef and poultry processing, and other industrial applications; and other specialty chemicals, such as tertiary amines, biocides, disinfectants, and sanitizers. The Catalysts segment provides hydroprocessing, isomerization, and akylation catalysts; fluidized catalytic cracking catalysts and additives; and organometallics and curatives. The company serves the energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, crop protection, and custom chemistry services markets. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina."
26,NFE,"New Fortress Energy Inc. operates as an integrated gas-to-power infrastructure company, provides energy and development services to end-users worldwide. The company engages in the natural gas procurement and liquefaction; and shipping, logistics, facilities and conversion, or development of natural gas-fired power generation. It also supplies LNG. The company operates LNG storage and regasification facility at the Port of Montego Bay, Jamaica; marine LNG storage and regasification facility in Old Harbour, Jamaica; and landed micro-fuel handling facility in San Juan, Puerto Rico, as well as Miami facility. New Fortress Energy Inc. was founded in 1998 and is based in New York, New York."
27,NXPI,"NXP Semiconductors N.V. offers various semiconductor products. The company's product portfolio includes microcontrollers; application processors including i.MX application processors and i.MX 8 family of applications processors; communication processors; wireless connectivity solutions, such as near field communications, ultra-wideband, Bluetooth low-energy, Zigbee, and Wi-Fi and Wi-Fi/Bluetooth integrated SoCs; analog and interface devices; radio frequency power amplifiers; and security controllers, as well as semiconductor-based environmental and inertial sensors, including pressure, inertial, magnetic, and gyroscopic sensors. Its product solutions are used in a range of applications, including automotive, industrial and Internet of Things, mobile, and communication infrastructure. The company markets its products to various original equipment manufacturers, original design manufacturers, contract manufacturers, and distributors. It operates in China, the Netherlands, the United States, Singapore, Germany, Japan, South Korea, Malaysia, and internationally. The company was formerly known as KASLION Acquisition B.V and changed its name to NXP Semiconductors N.V. in May 2010. NXP Semiconductors N.V. was incorporated in 2006 and is headquartered in Eindhoven, the Netherlands."
28,FNKO,"Funko, Inc., a pop culture consumer products company, designs, sources, and distributes licensed pop culture products in the United States, Europe, and internationally. The company offers vinyl, blind-packed miniature, and action figures; plush products; accessories; apparels, such as t-shirts and hats; homewares, including drinkware, party lights and other home accessories, such as keychains, pens, and pins; and bags, purses and wallets, and board games. It offers its products under the Pop!, Loungefly, Mystery Minis, Paka Paka, Funko Soda, and Snapsies brand names; and licenses its properties under the classic evergreen, movie release, current TV, and current video game categories. The company sells its products to specialty retailers, mass-market retailers, e-commerce sites, and distributors; and at specialty licensing and comic book shows, conventions, and exhibitions, as well as through its e-commerce business. Funko, Inc. was incorporated in 2017 and is headquartered in Everett, Washington."
29,DLPN,"Dolphin Entertainment, Inc., together with its subsidiaries, operates as an independent entertainment marketing and premium content development company in the United States. It operates in two segments, Entertainment Publicity and Marketing; and Content Production. The Entertainment Publicity and Marketing segment offers public relations, entertainment content marketing, strategic communications, social media and digital marketing, creative branding, talent publicity, and entertainment marketing services, as well as produces promotional video content. The Content Production segment produces and distributes feature films and digital content. In addition, it offers strategic marketing and publicity services to individuals and corporates in the entertainment, hospitality, and music industries. The company was formerly known as Dolphin Digital Media, Inc. and changed its name to Dolphin Entertainment, Inc. in July 2017. Dolphin Entertainment, Inc. is headquartered in Coral Gables, Florida."
30,ZKIN,"ZK International Group Co., Ltd., through its subsidiaries, engages in the designing, producing, and selling double-press thin-walled stainless steel, carbon steel, and single-press tubes and fittings in the People's Republic of China. It offers carbon and stainless steel strips; carbon and stainless steel pipes; light gauge stainless steel pipes; pipe connections and fittings; and couplings, adapters, unions, caps, plug pipes, elbows, three-way fittings, tees, cross, side-inlet elbows, wyes, reducers, bushings, pipe fasteners, and pipe flanges. The company also provides stainless steel band, copper strip, valve, light industry machinery and equipment, and other stainless steel products. Its products are used in various applications, including water and gas transmission within urban infrastructural development, residential housing development, food and beverage production, oil and gas exploitation, and agricultural irrigation. The company also exports its products to Europe, Africa, and Southeast Asia. ZK International Group Co., Ltd. was incorporated in 2015 and is based in Wenzhou, the People's Republic of China."
31,NET,"CloudFlare, Inc. operates a cloud platform that delivers a range of network services to businesses worldwide. The company provides an integrated cloud-based security solution to secure a range of combination of platforms, including public cloud, private cloud, on-premise, software-as-a-service applications, and Internet of Things (IoT) devices. Its security products comprise cloud firewall, bot management, distributed denial of service, IoT, SSL/TLS, secure origin connection, and rate limiting products. The company also offers performance solutions, which include content delivery, intelligent routing, and mobile software development kit, as well as content, mobile, and image optimization solutions. In addition, it provides reliability solutions comprising load balancing, anycast network, virtual backbone, DNS, DNS resolver, and always online solutions that enhances Internet experience and allows customers to run their digital operations efficiently. Further, the company provides Cloudflare internal infrastructure solutions, including on-ramps, which connect users, devices, or locations to Cloudflare's network; and filters, which are the products that protect, inspect, and privilege data. Additionally, it offers developer-based solutions, such as serverless computing/programmable network, website development, domain registration, Cloudflare apps, and analytics; Consumer DNS Resolver, a consumer application to browse the Internet; and Consumer VPN for consumers designed to secure and accelerate traffic on mobile devices. The company serves customers in technology, healthcare, financial services, consumer and retail, and non-profit industries, as well as government. It has a strategic agreement with Baidu, Inc. and JD Cloud & AI. CloudFlare, Inc. was incorporated in 2009 and is headquartered in San Francisco, California."
32,MAT,"Mattel, Inc., a children's entertainment company, designs and produces toys and consumer products worldwide. The company operates through North America, International, and American Girl segments. It offers dolls and accessories, as well as content, gaming, and lifestyle products for children under the Barbie, American Girl, Polly Pocket, Spirit, and Enchantimals brands; dolls and books under the American Girl brand name; die-cast vehicles, tracks, playsets, and accessories for kids, adults, and collectors under the Hot Wheels, Matchbox, CARS, and Mario Kart brand names; and infant, toddler, and preschool products comprising content, toys, live events, and other lifestyle products under the Fisher-Price and Thomas & Friends, Power wheels, and Fireman Sam brands. The company also provides action figures, building sets, and games under the Masters of the Universe, MEGA, UNO, Toy Story, Jurassic World, WWE, and Star Wars brands; and licensor partner brands, including Disney, NBCUniversal, WWE, Microsoft, Nickelodeon, Warner Bros, and Sanrio. It sells its products directly to consumers through its catalog, website, and proprietary retail stores; retailers, including discount and free-standing toy stores, chain stores, department stores, and other retail outlets; and wholesalers, as well as through agents and distributors. Mattel, Inc. was founded in 1945 and is headquartered in El Segundo, California."
