Symbol,Name,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44
NKE,Nike Inc Class B,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
ORCL,Oracle Corp,0,2,4,3,3,4,8,8,8,8,4,8,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,28,28,28,5,28,28,5,5,28,28,28,21,28,28,21
ACN,Accenture PLC Class A,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,5,21,21,21,21,21,21,21,21,21,28,28,28,28,28,21,21,21,21,21,21,21,21,21
CRM,Salesforce.Com Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
DHR,Danaher Corp,0,2,4,4,4,2,2,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
MRK,Merck & Co Inc,0,2,4,4,4,6,6,6,6,6,6,6,6,6,6,6,17,17,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NVS,Novartis AG ADR,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,17,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MCD,McDonald's Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,17,17,2,2,2,2,2,2,2,2,2,2,2,2,28,2,2,2,2,2,2,2,2,2,2,2
MS,Morgan Stanley,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,5,5,5,5,5
UPS,United Parcel Service Inc Class B,0,2,4,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
BHP,BHP Group Ltd ADR,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,17,17,17,7,2,2,2,2,2,2,8,2,2,28,28,8,15,15,35,35,35,35,35,35,15,15,35
T,AT&T Inc,1,1,1,5,5,5,5,5,10,11,11,11,11,10,15,10,10,15,3,3,3,3,13,3,22,22,22,22,22,22,32,32,32,32,32,32,32,32,32,32,32,32
NVO,Novo Nordisk A/S ADR,0,2,4,3,3,4,8,8,8,8,8,8,4,4,4,4,4,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,21,21,21,21,5,21,21
SCHW,Charles Schwab Corp,0,3,3,3,3,4,8,4,8,0,4,4,14,14,14,14,14,0,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
PM,Philip Morris International Inc,1,1,0,0,0,0,5,0,5,5,5,13,13,13,5,5,5,5,4,4,4,4,4,4,4,4,4,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30
RY,Royal Bank of Canada,0,3,3,3,3,4,8,8,8,8,4,4,14,14,14,14,0,14,7,7,7,7,7,12,12,12,7,28,7,7,7,7,7,7,28,11,11,11,11,11,11,11
TD,Toronto-Dominion Bank,0,3,3,3,3,4,0,4,0,0,0,0,14,14,14,14,0,0,0,12,12,12,12,7,7,7,7,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HSBC,HSBC Holdings PLC ADR,1,0,0,5,6,3,3,3,3,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,17,13,13,13,13,13,32,32,22,22,22,22,17,17,17,22,17,17
TTE,TotalEnergies SE ADR,2,0,0,5,6,3,3,3,3,3,3,5,5,5,10,3,3,3,6,6,6,6,17,17,17,9,9,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17
LOW,Lowe's Companies Inc,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
UNP,Union Pacific Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,28,28,28,2,2,2,21,21,21,21,21,21,21,21
LIN,Linde PLC,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
BX,Blackstone Inc,0,2,4,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
NEE,Nextera Energy Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,21,21,21,21,21,2,21,21,21,21,21,21,21,21,21
BMY,Bristol-Myers Squibb Co,0,3,3,1,1,1,4,2,2,2,2,13,13,13,13,13,18,18,20,20,20,20,20,20,20,20,20,18,18,18,29,18,18,18,18,36,36,36,40,40,40,40
AXP,American Express Co,0,2,4,3,3,4,8,8,8,8,8,8,4,8,4,17,0,8,12,12,12,5,12,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
RTX,Raytheon Technologies Corp,2,0,2,2,2,6,0,9,0,0,9,0,0,0,16,16,16,16,0,12,12,12,6,23,23,6,6,12,6,6,6,6,6,6,6,23,6,23,23,23,23,23
SAP,SAP SE ADR,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MDT,Medtronic PLC,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CVS,CVS Health Corp,1,3,3,1,1,1,4,1,1,1,1,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,12,29,29,29,29,29,29,29,29,29,29,29,29,29,42,42
UL,Unilever PLC ADR,0,2,2,2,2,6,6,9,9,9,9,9,9,9,9,9,9,17,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,41,41,8
SONY,Sony Group Corp ADR,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
C,Citigroup Inc,2,0,2,2,0,0,0,0,0,3,3,0,0,0,16,16,16,16,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
BA,Boeing Co,2,0,2,2,6,7,7,7,7,7,7,3,7,7,7,9,9,19,19,19,19,19,24,24,24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,9,19
COP,Conocophillips,2,0,2,2,0,0,0,9,0,0,3,0,0,0,16,16,16,16,0,0,0,12,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
HDB,HDFC Bank Ltd ADR,0,2,4,4,4,2,2,8,6,8,8,9,9,9,9,17,0,17,12,2,2,2,2,2,2,8,28,8,8,8,8,28,28,35,35,28,28,28,35,35,35,35
GS,Goldman Sachs Group Inc,0,3,3,3,3,4,8,4,8,8,4,4,14,14,14,4,4,4,11,11,11,11,11,11,11,11,5,11,11,31,7,7,11,11,11,11,11,11,11,11,11,11
DE,Deere & Co,0,2,4,3,3,4,8,8,8,8,8,8,4,4,4,4,4,4,5,5,5,5,5,21,21,21,21,21,21,5,5,21,21,35,35,35,35,35,35,35,35,35
IBM,International Business Machines Corp,1,1,1,5,5,5,5,5,10,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
BLK,BlackRock Inc,0,2,4,3,3,4,8,8,8,8,8,8,4,4,4,4,4,4,5,5,5,5,5,5,5,21,21,21,21,5,5,5,21,35,35,35,35,35,35,35,35,35
DEO,Diageo PLC ADR,0,2,4,3,3,4,8,8,8,8,9,9,9,9,9,17,0,17,12,12,12,12,12,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
NOW,ServiceNow Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
GSK,GlaxoSmithKline PLC ADR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,23,1,27,27,27,27,27,27,27,27,27,27,27,27,1,1,27
CAT,Caterpillar Inc,0,2,4,3,3,4,8,8,8,8,8,8,8,8,8,8,0,0,7,7,7,7,7,7,7,7,28,7,28,28,28,28,28,35,35,35,35,35,35,35,35,35
ANTM,Anthem Inc,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,17,8,8,2,2,2,2,2,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
BP,BP PLC ADR,1,0,0,5,6,7,7,3,3,10,10,10,10,10,10,10,10,10,17,17,17,17,24,24,24,24,24,24,24,24,24,24,17,24,24,24,17,17,17,17,17,17
PLD,Prologis Inc,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,28,28,28,28,28,21,21,21,21,21,21,21,21,21
LMT,Lockheed Martin Corp,0,2,4,4,2,6,6,6,9,9,6,6,6,6,6,6,17,17,8,2,2,2,2,2,2,8,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2
AMT,American Tower Corp,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,17,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
EL,Estee Lauder Companies Inc Class A,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
GE,General Electric Co,1,1,1,1,1,5,5,1,1,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BTI,British American Tobacco PLC ADR,1,1,1,5,5,5,5,5,10,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,26,26,26,26,26,26,26,26,26,26,26,26,26,26
SHOP,Shopify Inc Class A,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,36,36,36,15
EQNR,Equinor ASA ADR,2,0,2,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,6,6,12,6,6,6,6,6,12,12,12,12,12,12,12,12,12
BUD,Anheuser Busch Inbev SA ADR,1,1,1,5,5,5,5,5,10,10,11,11,11,11,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,26,26,26,13,13,13,13,13,13,13,13,13
TGT,Target Corp,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
RIO,Rio Tinto PLC ADR,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,7,7,7,7,2,21,2,21,21,21,21,21,21,15,15,35,35,35,35,35,35,35,35,35
SYK,Stryker Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,17,2,2,2,2,2,2,2,2,2,2,2,28,28,2,2,2,2,2,2,2,2,2,2,2
ZTS,Zoetis Inc Class A,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
SPGI,S&P Global Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
INFY,Infosys Ltd ADR,0,2,4,3,3,4,8,8,8,8,4,8,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
MO,Altria Group Inc,1,1,0,5,5,5,5,5,10,11,11,11,11,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,26,26,26,26,26,26,26,26,26,26,26,26,26,26
MMM,3M Co,2,0,0,0,6,7,7,0,7,5,5,5,5,15,5,7,7,7,9,9,22,22,22,22,26,26,26,26,9,9,22,22,34,34,34,34,34,34,34,34,34,34
BAM,Brookfield Asset Management Inc Class A,0,2,4,3,3,4,8,8,8,8,8,8,8,8,4,8,8,8,5,5,21,5,5,12,12,21,21,28,28,28,28,28,28,28,28,28,28,28,21,28,28,28
BNS,Bank of Nova Scotia,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB,Chubb Ltd,0,3,3,3,3,4,8,4,8,0,4,4,14,14,14,14,0,14,12,12,12,12,12,12,12,12,7,28,7,7,7,7,7,7,28,28,28,28,28,11,28,11
SE,Sea Ltd ADR,0,2,4,4,4,2,8,8,8,8,8,8,8,4,4,8,8,4,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,35,36,36,36,15
PNC,PNC Financial Services Group Inc,0,3,3,3,3,4,8,4,0,0,4,4,14,14,14,14,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
ENB,Enbridge Inc,1,1,1,1,1,1,4,1,4,4,12,13,13,12,13,13,13,13,20,20,20,20,20,20,20,23,10,29,29,29,29,29,29,29,29,29,29,39,20,20,42,42
USB,US Bancorp,2,0,2,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,23,23,6,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
VALE,Vale SA ADR,0,2,4,4,2,6,6,9,9,9,9,9,9,9,9,17,0,0,7,7,7,7,7,7,7,8,8,7,8,8,8,15,15,15,15,15,15,15,15,15,15,43
CNI,Canadian National Railway Co,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,28,28,28,28,28,21,21,21,21,21,21,21,21,21
TFC,Truist Financial Corp,2,3,3,3,0,0,0,9,0,0,0,0,0,0,16,16,0,0,0,0,0,12,12,7,7,7,7,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7
MUFG,Mitsubishi UFJ Financial Group Inc ADR,1,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,30,4,4,4,4,4,4,4,4,4,4,4,4,4
TJX,TJX Companies Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,21,2
BDX,Becton Dickinson and Co,0,2,2,2,2,6,6,9,9,9,9,9,9,9,9,17,17,17,8,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
MMC,Marsh & McLennan Companies Inc,0,2,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,28,28,28,28,28,21,21,21,21,21,21,21,21,21
DUK,Duke Energy Corp,0,2,4,4,3,4,8,8,8,8,8,8,8,8,8,8,8,17,12,2,2,2,2,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
UBS,UBS Group AG,1,1,0,0,0,0,0,0,5,5,5,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,4,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30
BMO,Bank of Montreal,2,3,3,3,3,4,0,4,0,0,0,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,7,11,11,31,7,7,7,7,11,11,11,11,11,11,11,11
CI,Cigna Corp,0,2,4,4,4,2,8,8,8,8,8,9,9,9,9,17,0,0,7,7,7,7,7,7,7,7,8,7,7,7,8,15,15,35,35,7,7,7,35,35,35,35
HCA,HCA Healthcare Inc,0,2,4,3,3,4,8,8,8,8,8,8,4,4,4,4,4,8,5,5,5,5,5,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
CCI,Crown Castle International Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,2,2,21,21,2,2,21,21,21,21,21,21,21,21,21
IBN,ICICI Bank Ltd ADR,0,2,4,3,3,4,8,8,8,8,8,8,4,4,4,4,4,8,5,5,5,5,5,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
SHW,Sherwin-Williams Co,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
GM,General Motors Co,0,3,3,3,3,4,8,4,8,0,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,7,11,11,7,7,7,11,11,11,11,11,11,11,11,11,11
SO,Southern Co,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ICE,Intercontinental Exchange Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,21,21,21,28,21,2,21,21,21,21,21,21,21,21,21
F,Ford Motor Co,2,3,3,0,0,0,4,4,0,0,0,13,14,13,13,13,13,13,11,11,11,20,20,11,20,23,12,29,29,31,31,31,31,31,31,31,31,31,29,29,29,29
BBL,BHP Group PLC ADR,0,2,4,4,3,4,8,8,8,8,8,8,8,8,9,17,0,17,7,7,7,7,7,12,12,12,28,28,28,28,28,28,28,28,35,28,28,28,35,28,28,35
EOG,EOG Resources Inc,2,0,0,5,6,3,3,3,3,3,3,5,5,5,5,5,5,3,6,6,6,6,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
FIS,Fidelity National Information Services Inc,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,6,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ITW,Illinois Tool Works Inc,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,35,35,35,35,35,35,35
EW,Edwards Lifesciences Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,21,28,28,28,21,2,21,21,21,21,21,21,21,21,21
ABB,Abb Ltd ADR,0,3,3,3,3,4,8,4,8,8,4,4,4,4,4,4,4,4,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CL,Colgate-Palmolive Co,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
COF,Capital One Financial Corp,0,3,3,3,3,4,8,4,8,8,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,7,11,11,31,7,7,11,11,11,11,11,11,11,11,11,11
SAN,Banco Santander SA ADR,1,1,0,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,26,26,26,26,22,22,22,22,22,22,22,22,22,22
SNAP,Snap Inc Class A,0,2,3,3,3,4,8,2,2,2,2,2,2,2,2,2,2,4,16,16,16,16,16,16,16,16,11,16,16,11,11,16,11,11,5,5,5,5,5,5,5,5
NSC,Norfolk Southern Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,2,2,2,2,21,21,2,21,21,28,28,28,28,28,21,21,21,21,21,21,21,21,21
D,Dominion Energy Inc,0,2,4,4,2,6,6,6,4,4,6,6,6,6,6,6,12,6,8,8,8,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
FCX,Freeport-McMoRan Inc,0,3,3,3,3,4,8,4,8,8,4,4,4,4,4,4,4,4,11,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,5,5,5,5,5,5,5,5
PSA,Public Storage,0,3,3,3,3,4,8,4,8,8,4,4,4,4,14,4,4,14,11,5,5,5,5,5,5,5,5,5,5,31,31,31,31,31,31,31,31,31,31,31,31,31
AON,Aon PLC Class A,0,2,4,4,4,2,8,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,28,28,28,28,28,28,28,21,21,21,21,21,21,21,21
CNQ,Canadian Natural Resources Ltd,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,14,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC,Northrop Grumman Corp,0,2,4,4,2,6,6,9,9,9,9,9,9,9,9,17,17,17,12,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
PGR,Progressive Corp,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SQ,Block Inc Class A,0,2,4,4,4,2,2,2,6,6,8,8,8,8,8,8,2,2,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,36,35,35,35,36,36,36,15
MCO,Moody's Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
FDX,FedEx Corp,0,3,3,3,0,0,0,4,2,2,0,2,14,14,0,0,18,0,18,18,18,18,18,18,18,18,18,7,18,18,18,18,18,18,18,18,18,18,18,18,18,18
BSX,Boston Scientific Corp,0,2,4,4,2,6,6,9,9,9,9,9,9,9,9,17,17,17,12,2,2,2,2,2,2,8,2,8,8,8,2,8,8,2,8,2,2,2,2,2,2,2
ETN,Eaton Corporation PLC,0,2,4,3,3,4,8,8,8,8,4,8,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
